,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
249,Yuke's,112252,Mixed or average reviews,59,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,27
250,Yuke's,112253,Mixed or average reviews,43,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,23
251,SNK Playmore,108927,Mixed or average reviews,11,"Action, Fighting, 2D",,Ignition Entertainment,https://www.metacritic.com/company/ignition-entertainment,T,Generally favorable reviews,24
252,Capcom,111275,Universal acclaim,61,"Action, Fighting, Fighting, 3D, 2D, 3D",2 Players 2 Players Online,Capcom,https://www.metacritic.com/company/capcom,T,Mixed or average reviews,421
253,Capcom,111276,Universal acclaim,77,"Action, Fighting, Fighting, 3D, 2D, 3D",2 Players 2 Players Online,Capcom,https://www.metacritic.com/company/capcom,T,Mixed or average reviews,335
254,Dimps Corporation,113035,Generally unfavorable reviews,17,"Action, Fighting, 3D",2 Players Online,Atari,https://www.metacritic.com/company/atari,T,Generally favorable reviews,74
255,SNK Playmore,111136,Mixed or average reviews,15,"Action, Miscellaneous, Fighting, Compilation, 2D",,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,7
256,"Backbone Entertainment, Backbone Emeryville",109982,Generally favorable reviews,34,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,"Capcom, Microsoft",https://www.metacritic.com/company/capcom,T,Generally favorable reviews,57
257,"Backbone Entertainment, Backbone Emeryville",109983,Generally favorable reviews,30,"Action, Fighting, Fighting, 2D, 2D",2 Players 8 Players Online,"SCEA, Capcom",https://www.metacritic.com/company/scea,T,Generally favorable reviews,63
258,Eighting,112659,Generally unfavorable reviews,33,"Action, Fighting, Fighting, 3D, 3D",2 Players Online,Konami,https://www.metacritic.com/company/konami,T,Mixed or average reviews,68
259,Midway,111214,Generally favorable reviews,44,"Action, Fighting, Fighting, 3D, 2D, 3D",2 Players 2 Players Online,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,150
260,Midway,111215,Mixed or average reviews,61,"Action, Fighting, Fighting, 3D, 2D, 3D",2 Players Online,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,117
261,Yuke's,112059,Generally favorable reviews,47,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,50
262,Yuke's,112060,Generally favorable reviews,37,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,60
263,Yuke's,112061,Generally favorable reviews,9,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,53
264,Yuke's,112062,Generally favorable reviews,18,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,23
265,TOSE,112063,Mixed or average reviews,15,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,10
266,Yuke's,112064,Mixed or average reviews,9,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,16
267,CyberConnect2,111167,Generally favorable reviews,32,"Action, Fighting, Fighting, 3D, 3D",No Online Multiplayer,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Generally favorable reviews,154
268,SNK Playmore,111139,Mixed or average reviews,16,"Action, Miscellaneous, Fighting, Compilation, 2D",2 Players,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Mixed or average reviews,10
269,Eighting,112398,Mixed or average reviews,20,"Action, Fighting, Fighting, 3D, 3D",,"D3, Tomy Corporation",https://www.metacritic.com/company/d3,T,Generally favorable reviews,19
270,Treasure,108757,Generally favorable reviews,28,"Action, Fighting, Fighting, 2D, 2D",4 Players Online Up to 4 Players,Sega,https://www.metacritic.com/company/sega,T,Generally favorable reviews,21
271,Midway Studios - Los Angeles,108629,Generally unfavorable reviews,5,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,5
272,Arc System Works,111823,Mixed or average reviews,22,"Action, Fighting, Fighting, 2D, 2D",2 Players,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Mixed or average reviews,9
273,SNK Playmore,111141,Mixed or average reviews,12,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Mixed or average reviews,6
274,Midway Studios - Los Angeles,108628,Mixed or average reviews,44,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players 2 Players Online,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,21
275,Midway Studios - Los Angeles,108630,Mixed or average reviews,27,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",2 Players 2 Players Online,Midway,https://www.metacritic.com/company/midway,T,Generally unfavorable reviews,26
276,Midway Studios - Los Angeles,111560,Mixed or average reviews,4,"Action, Fighting, Wrestling",,Midway,https://www.metacritic.com/company/midway,T,Mixed or average reviews,8
277,"Namco, Project Soul",110387,Generally favorable reviews,65,"Action, Fighting, Fighting, 3D, 3D",2 Players 4 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Generally favorable reviews,162
278,"Namco, Project Soul",110388,Generally favorable reviews,62,"Action, Fighting, Fighting, 3D, 3D",2 Players 4 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Generally favorable reviews,181
279,Namco Bandai Games,112129,Generally favorable reviews,19,"Action, Fighting, Fighting, 3D, 3D",,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Generally favorable reviews,16
280,CyberConnect2,111836,Mixed or average reviews,20,"Action, Fighting, Fighting, 3D, 3D",2 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Mixed or average reviews,32
281,"Dimps Corporation, Namco Bandai Games",111536,Mixed or average reviews,32,"Action, Fighting, Fighting, 3D, 3D",2 Players,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Mixed or average reviews,80
282,"Dimps Corporation, Namco Bandai Games",111537,Mixed or average reviews,50,"Action, Fighting, Fighting, 3D, 3D",2 Players,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,53
283,Examu,110543,Generally favorable reviews,12,"Action, Fighting, 2D",,Atlus Co.,https://www.metacritic.com/company/atlus-co,T,Generally favorable reviews,9
284,CyberConnect2,107287,Generally favorable reviews,24,"Action, Fighting, 3D",,Namco Bandai Games America,https://www.metacritic.com/company/namco-bandai-games-america,T,Generally favorable reviews,64
285,Game Arts,106818,Universal acclaim,81,"Action, Fighting, Fighting, 3D, 2D, 3D",4 Players Online Up to 4 Players,Nintendo,https://www.metacritic.com/company/nintendo,T,Generally favorable reviews,2202
286,"DreamFactory, Takara Tomy",109104,Mixed or average reviews,22,"Action, Fighting, Fighting, 3D, 3D",2 Players Online No Online Multiplayer,D3Publisher,https://www.metacritic.com/company/d3publisher,T,Generally unfavorable reviews,12
287,SNK Playmore,107301,Mixed or average reviews,21,"Action, Fighting, 2D",,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,9
288,"Pipeworks Software, Inc.",109618,Generally unfavorable reviews,31,"Action, Action Adventure, Sci-Fi, Fighting, General, 3D",No Online Multiplayer,"Atari, Atari SA",https://www.metacritic.com/company/atari,E10+,Mixed or average reviews,47
289,Dimps Corporation,109461,Mixed or average reviews,23,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,Atlus,https://www.metacritic.com/company/atlus,E10+,Generally favorable reviews,4
290,"Spike, Namco Bandai Games",110266,Mixed or average reviews,27,"Action, Fighting, Fighting, 3D, 3D",No Online Multiplayer,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,87
291,SNK Playmore,108046,Generally favorable reviews,30,"Action, Fighting, 2D",,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,24
292,Yuke's,109874,Mixed or average reviews,41,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,68
293,Yuke's,109875,Mixed or average reviews,11,"Action, Fighting, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,48
294,Yuke's,109876,Mixed or average reviews,27,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",4 Players Online Up to 4 Players,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,53
295,Yuke's,109877,Mixed or average reviews,11,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Generally favorable reviews,23
296,Amaze Entertainment,109901,Mixed or average reviews,12,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,19
297,Yuke's,109902,Mixed or average reviews,13,"Action, Sports, Fighting, Fighting, Individual, Wrestling, Combat, Wrestling",No Online Multiplayer,THQ,https://www.metacritic.com/company/thq,T,Mixed or average reviews,24
298,S-Neo,106362,Generally favorable reviews,12,"Action, Fighting, Wrestling",,Agetec Inc.,https://www.metacritic.com/company/agetec-inc,T,Generally favorable reviews,18
299,"Spike, Namco Bandai Games",110265,Mixed or average reviews,24,"Action, Fighting, 3D",,Atari,https://www.metacritic.com/company/atari,T,Universal acclaim,442
300,Other Ocean Interactive,110473,Mixed or average reviews,26,"Action, Fighting, Fighting, 2D, 2D",2 Players 2 Players Online,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,34
301,Sega AM2,109451,Generally favorable reviews,36,"Action, Fighting, Fighting, 3D, 3D",2 Players 2 Players Online No Online Multiplayer,Sega,https://www.metacritic.com/company/sega,T,Generally favorable reviews,69
302,"Eighting, 8ing/Raizing",109816,Mixed or average reviews,23,"Action, Fighting, Fighting, 3D, 3D",,"D3, Tomy Corporation",https://www.metacritic.com/company/d3,T,Generally favorable reviews,30
303,Arc System Works,109667,Generally favorable reviews,15,"Action, Fighting, Fighting, 2D, 2D",No Online Multiplayer,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,20
304,Polygon Magic,108676,Mixed or average reviews,30,"Action, Fighting, Fighting, 3D, 3D",No Online Multiplayer,Sega,https://www.metacritic.com/company/sega,T,Mixed or average reviews,27
305,Treasure,107160,Generally favorable reviews,32,"Action, Fighting, Fighting, 2D, 2D",4 Players Online,Sega,https://www.metacritic.com/company/sega,T,Mixed or average reviews,30
306,Arc System Works,109798,Generally favorable reviews,9,"Action, Fighting, 2D",,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Generally favorable reviews,22
307,Mine Loader,108926,Mixed or average reviews,12,"Action, Fighting, Fighting, 2D, 2D",4 Players Online,SNK Playmore,https://www.metacritic.com/company/snk-playmore,T,Generally favorable reviews,6
308,"Bandai, CyberConnect2",107660,Mixed or average reviews,11,"Action, Fighting, Fighting, 3D, 3D",2 Players,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Mixed or average reviews,23
309,Digital Eclipse,109081,Mixed or average reviews,8,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,Konami,https://www.metacritic.com/company/konami,E10+,No user score yet,
310,CyberConnect2,104311,Mixed or average reviews,27,"Action, Fighting, 3D",,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,T,Generally favorable reviews,48
311,JGI Entertainment,108831,Mixed or average reviews,29,"Action, Fighting, Fighting, 3D, 3D",,Midway,https://www.metacritic.com/company/midway,M,Generally favorable reviews,47
312,G.Rev,107325,Mixed or average reviews,33,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,7
313,Neko Entertainment,108439,Generally unfavorable reviews,12,"Action, Fighting, Fighting, 3D, 3D",,The Game Factory,https://www.metacritic.com/company/the-game-factory,T,Mixed or average reviews,5
314,Neko Entertainment,107280,Generally unfavorable reviews,4,"Action, Fighting, 3D",,The Game Factory,https://www.metacritic.com/company/the-game-factory,T,Generally unfavorable reviews,5
315,Neko Entertainment,109426,Generally unfavorable reviews,14,"Action, Fighting, Fighting, 3D, 3D",,The Game Factory,https://www.metacritic.com/company/the-game-factory,T,Generally unfavorable reviews,5
316,"Midway, Digital Eclipse",109463,Mixed or average reviews,5,"Action, Fighting, Fighting, 2D, 2D",2 Players Online,Sony Online Entertainment,https://www.metacritic.com/company/sony-online-entertainment,M,Generally favorable reviews,29
317,Dimps Corporation,109486,Mixed or average reviews,20,"Action, Fighting, Fighting, 3D, 3D",2 Players,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Generally favorable reviews,40
