,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
159,Sunstorm Interactive,102091,Mixed or average reviews,10,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Infogrames,https://www.metacritic.com/company/infogrames,T,Mixed or average reviews,6.0
160,Electronic Arts,161301,Mixed or average reviews,16,"Action, Shooter, First-Person, Modern",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,42.0
161,Westwood Studios,102856,Generally favorable reviews,28,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,136.0
162,Croteam,101915,Generally favorable reviews,22,"Action, Shooter, Shooter, First-Person, Sci-Fi, Arcade",,Gathering,https://www.metacritic.com/company/gathering,M,Generally favorable reviews,311.0
163,Galilea Multimedia,102034,Mixed or average reviews,7,"Adventure, 3D, First-Person, Modern, Modern",No Online Multiplayer,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,,Mixed or average reviews,7.0
164,2015,101479,Universal acclaim,34,"Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade",,"Electronic Arts, EA Games",https://www.metacritic.com/company/electronic-arts,T,Generally favorable reviews,607.0
165,Graphic State,161031,Mixed or average reviews,17,"Action, Shooter, First-Person, Fantasy",,Majesco Games,https://www.metacritic.com/company/majesco-games,T,Generally favorable reviews,4.0
166,2015,161877,Mixed or average reviews,47,"Action, Shooter, First-Person, Historic",,VU Games,https://www.metacritic.com/company/vu-games,M,Mixed or average reviews,10.0
167,Irrational Games,103045,Generally favorable reviews,44,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",32 Players Online,VU Games,https://www.metacritic.com/company/vu-games,T,Generally favorable reviews,49.0
168,Valve Software,104389,Generally favorable reviews,9,"Action, Shooter, Shooter, First-Person, Tactical, Modern, Modern",Online Multiplayer,"Valve Software, VU Games",https://www.metacritic.com/company/valve-software,M,Generally favorable reviews,10284.0
169,Her Interactive,105255,Generally favorable reviews,6,"Adventure, First-Person, General, Point-and-Click, Modern",No Online Multiplayer,Her Interactive,https://www.metacritic.com/company/her-interactive,E,Generally favorable reviews,23.0
170,Vicious Cycle,104101,Mixed or average reviews,33,"Action, Shooter, First-Person, Sci-Fi",8 Players Online,Global Star Software,https://www.metacritic.com/company/global-star-software,T,Generally favorable reviews,5.0
171,Legacy Interactive,103867,Generally favorable reviews,30,"Adventure, 3D, First-Person, Modern",,Legacy Interactive,https://www.metacritic.com/company/legacy-interactive,T,Mixed or average reviews,8.0
172,Vicious Cycle,162521,Mixed or average reviews,41,"Action, Shooter, First-Person, Sci-Fi",8 Players Online,Global Star Software,https://www.metacritic.com/company/global-star-software,T,No user score yet,
173,Unimatrix Productions,109594,Mixed or average reviews,4,"Adventure, First-Person, Point-and-Click, Modern",,Unimatrix Productions,https://www.metacritic.com/company/unimatrix-productions,,Mixed or average reviews,6.0
174,Zombie Studios,103117,Mixed or average reviews,16,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Mixed or average reviews,16.0
175,Pandemic Studios,162316,Generally favorable reviews,55,"Action, Shooter, First-Person, Sci-Fi",16 Players Online,LucasArts,https://www.metacritic.com/company/lucasarts,T,Generally favorable reviews,87.0
176,Pandemic Studios,103545,Generally favorable reviews,34,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,LucasArts,https://www.metacritic.com/company/lucasarts,T,Generally favorable reviews,200.0
177,Coyote Developments,162568,Mixed or average reviews,32,"Action, Shooter, First-Person, Historic",10 Players Online,Gathering,https://www.metacritic.com/company/gathering,M,Generally favorable reviews,12.0
178,Coyote Developments,104349,Generally unfavorable reviews,11,"Action, Shooter, First-Person, Historic",,Gathering,https://www.metacritic.com/company/gathering,M,Mixed or average reviews,8.0
179,Gray Matter,103787,Generally favorable reviews,54,"Action, Shooter, Shooter, First-Person, Third-Person, Historic, Tactical, Historic, Arcade",32 Players Online,Activision,https://www.metacritic.com/company/activision,T,Generally favorable reviews,358.0
180,XXV Productions,103649,Mixed or average reviews,20,"Adventure, 3D, First-Person, Modern, Modern",No Online Multiplayer,The Adventure Company,https://www.metacritic.com/company/the-adventure-company,T,Mixed or average reviews,21.0
181,Brainbox Games,104298,Mixed or average reviews,6,"Action, Shooter, Shooter, First-Person, Historic, Arcade",,Groove Games,https://www.metacritic.com/company/groove-games,M,No user score yet,
182,Ubisoft Montreal,162427,Generally favorable reviews,55,"Action, Shooter, First-Person, Tactical, Modern",,Ubisoft,https://www.metacritic.com/company/ubisoft,M,Generally favorable reviews,17.0
183,id Software,101558,Generally favorable reviews,83,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4 Players Online,Activision,https://www.metacritic.com/company/activision,M,Generally favorable reviews,1348.0
184,Her Interactive,105320,Mixed or average reviews,5,"Adventure, 3D, First-Person, Modern, Modern",No Online Multiplayer,Her Interactive,https://www.metacritic.com/company/her-interactive,E,Mixed or average reviews,12.0
185,Kuma Reality Games,103404,Mixed or average reviews,15,"Action, Shooter, Shooter, First-Person, Tactical, Modern",,Kuma Reality Games,https://www.metacritic.com/company/kuma-reality-games,M,Mixed or average reviews,10.0
