,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
261,Nintendo,161854,Universal acclaim,54,"Strategy, Real-Time, Fantasy",,Nintendo,https://www.metacritic.com/company/nintendo,E,Universal acclaim,231.0
262,Best Way,103181,Generally favorable reviews,45,"Strategy, Real-Time, Military, General, Military",,Codemasters,https://www.metacritic.com/company/codemasters,T,Generally favorable reviews,67.0
263,K-D Lab,102957,Generally favorable reviews,39,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",4 Players Online,Codemasters,https://www.metacritic.com/company/codemasters,E,Generally favorable reviews,53.0
264,Massive Entertainment,102809,Generally favorable reviews,47,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Tactics",Up to 8 Players,"Sierra Entertainment, VU Games",https://www.metacritic.com/company/sierra-entertainment,T,Generally favorable reviews,44.0
265,Nival Interactive,103606,Generally favorable reviews,23,"Strategy, Real-Time, Historic, General, Historic, Tactics",,cdv Software,https://www.metacritic.com/company/cdv-software,T,Mixed or average reviews,17.0
266,Primal Software,102802,Mixed or average reviews,25,"Strategy, Real-Time, Fantasy, Fantasy",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,M,Mixed or average reviews,9.0
267,Pandemic Studios,162135,Generally favorable reviews,67,"Strategy, Real-Time, Military",,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,36.0
268,Infinite Interactive,103423,Mixed or average reviews,25,"Strategy, Real-Time, Fantasy, General",No Online Multiplayer,Enlight Software,https://www.metacritic.com/company/enlight-software,T,Generally favorable reviews,42.0
269,Big Huge Games,103537,Generally favorable reviews,26,"Strategy, Real-Time, Historic, General, Historic",,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Generally favorable reviews,115.0
270,Legend Studios,103096,Mixed or average reviews,18,"Strategy, Real-Time, Military, General, Military",,Strategy First,https://www.metacritic.com/company/strategy-first,T,No user score yet,
271,Digital Reality,103433,Mixed or average reviews,29,"Strategy, Real-Time, Historic, General",,"Encore Software, Inc., Encore Software",https://www.metacritic.com/company/encore-software-inc,T,Mixed or average reviews,9.0
272,"Haemimont, Haemimont Games",103428,Mixed or average reviews,17,"Strategy, Real-Time, Historic, General, Historic",No Online Multiplayer,Enlight Software,https://www.metacritic.com/company/enlight-software,E,Generally favorable reviews,14.0
273,Gas Powered Games,111561,Generally favorable reviews,50,"Fantasy, MOBA, Strategy, Real-Time, MOBA",10 Players Online Online Multiplayer,Stardock,https://www.metacritic.com/company/stardock,T,Generally favorable reviews,200.0
274,"Relic, Relic Entertainment",113122,Mixed or average reviews,42,"Strategy, Real-Time, Military, General, Military",Up to 8 Players,THQ,https://www.metacritic.com/company/thq,M,Mixed or average reviews,219.0
275,Creative Assembly,112701,Mixed or average reviews,28,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",Up to 8 Players,Sega,https://www.metacritic.com/company/sega,M,Mixed or average reviews,21.0
276,Creative Assembly,112702,Generally unfavorable reviews,36,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",Up to 8 Players,Sega,https://www.metacritic.com/company/sega,M,Mixed or average reviews,18.0
277,Creative Assembly,112706,Generally unfavorable reviews,15,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",8 Players Online Up to 8 Players,Sega,https://www.metacritic.com/company/sega,M,Generally unfavorable reviews,26.0
278,EA Phenomic,112196,Generally favorable reviews,37,"Strategy, Real-Time, Fantasy, General, Fantasy",12 Players Online,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,116.0
279,EA LA,111780,Generally favorable reviews,23,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",Up to 4 Players,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,26.0
280,"Haemimont, Haemimont Games",112977,Mixed or average reviews,18,"Strategy, Real-Time, Historic, General, Historic",No Online Multiplayer,"Viva Media, Viva Media, LLC",https://www.metacritic.com/company/viva-media,T,Generally favorable reviews,66.0
281,Best Way,111698,Generally favorable reviews,22,"Strategy, Real-Time, Historic, General, Historic, Tactics",16 Players Online,Aspyr,https://www.metacritic.com/company/aspyr,M,Generally favorable reviews,172.0
282,EA LA,113866,Mixed or average reviews,33,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",No Online Multiplayer,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,110.0
283,Massive Entertainment,113949,Mixed or average reviews,21,"Strategy, Real-Time, Military, General, Military",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,76.0
284,Stormregion,109808,Mixed or average reviews,28,"Strategy, Real-Time, Military, General, Military",,"Atari, Atari SA",https://www.metacritic.com/company/atari,T,Mixed or average reviews,9.0
285,Nintendo,113327,Generally favorable reviews,36,"Strategy, Real-Time, Fantasy, General, Fantasy",No Online Multiplayer,Nintendo,https://www.metacritic.com/company/nintendo,E,Generally favorable reviews,57.0
286,Ensemble Studios,109116,Generally favorable reviews,92,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General, Command",6 Players Online,Microsoft Game Studios,https://www.metacritic.com/company/microsoft-game-studios,T,Generally favorable reviews,594.0
287,Creative Assembly,110954,Universal acclaim,62,"Strategy, Real-Time, Historic, General, Historic",Online Multiplayer,Sega,https://www.metacritic.com/company/sega,T,Mixed or average reviews,3190.0
288,Ironclad Games,113277,Generally favorable reviews,12,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",10 Players Online,Stardock,https://www.metacritic.com/company/stardock,T,Mixed or average reviews,23.0
289,Ubisoft Shanghai,110278,Mixed or average reviews,24,"Strategy, Real-Time, Military, Military, Tactics",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,55.0
290,Brownie Brown,111145,Mixed or average reviews,46,"Role-Playing, Strategy, Real-Time, General, General, Tactics",No Online Multiplayer,Ignition Entertainment,https://www.metacritic.com/company/ignition-entertainment,E,Mixed or average reviews,17.0
291,"Relic, Relic Entertainment",112087,Generally favorable reviews,67,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",6 Players Online Online Multiplayer,THQ,https://www.metacritic.com/company/thq,M,Generally favorable reviews,1626.0
292,KDV Games,112705,Generally unfavorable reviews,5,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Strategy First,https://www.metacritic.com/company/strategy-first,E10+,Generally unfavorable reviews,17.0
293,FluffyLogic,113058,Mixed or average reviews,22,"Strategy, Real-Time, Sci-Fi, Sci-Fi, Defense",,SCEA,https://www.metacritic.com/company/scea,T,Mixed or average reviews,34.0
294,Hidden Path Entertainment,113647,Generally favorable reviews,11,"Strategy, Real-Time, General, General, Defense",No Online Multiplayer,"Aspyr, Hidden Path Entertainment",https://www.metacritic.com/company/aspyr,E10+,Generally favorable reviews,289.0
295,Vogster,111609,Generally favorable reviews,15,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",4 Players Online,"Tecmo, Vogster",https://www.metacritic.com/company/tecmo,E10+,Generally favorable reviews,24.0
296,EA LA,111781,Generally favorable reviews,37,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",4 Players Online Up to 4 Players,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,39.0
297,"Funatics Software, Funatics",113065,Mixed or average reviews,7,"Strategy, Real-Time, Wargame, Turn-Based, Military, Tactics",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,9.0
298,"Funatics Software, Funatics",113066,Mixed or average reviews,11,"Strategy, Real-Time, Wargame, Turn-Based, Military, Tactics",,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,7.0
299,Ubisoft Shanghai,110048,Generally favorable reviews,33,"Strategy, Real-Time, Military, Military, Tactics",4 Players Online Up to 8 Players,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Mixed or average reviews,49.0
300,Ubisoft Shanghai,110049,Generally favorable reviews,63,"Strategy, Real-Time, Military, Military, Tactics",4 Players Online,Ubisoft,https://www.metacritic.com/company/ubisoft,T,Generally favorable reviews,68.0
301,"Venan Entertainment, Cashmere Prod.",110937,Generally favorable reviews,40,"Strategy, Real-Time, General, General, Defense",2 Players Online,SouthPeak Games,https://www.metacritic.com/company/southpeak-games,E,Generally favorable reviews,27.0
302,EA LA,111777,Generally favorable reviews,55,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",6 Players Online No Online Multiplayer,Electronic Arts,https://www.metacritic.com/company/electronic-arts,T,Mixed or average reviews,593.0
303,Certain Affinity,111973,Mixed or average reviews,8,"Strategy, Miscellaneous, Real-Time, Party, Fantasy, General, Fantasy",8 Players Online,Capcom,https://www.metacritic.com/company/capcom,E,Mixed or average reviews,18.0
304,Certain Affinity,111972,Generally favorable reviews,20,"Strategy, Miscellaneous, Real-Time, Party, General, Fantasy",8 Players Online,Capcom,https://www.metacritic.com/company/capcom,E,Mixed or average reviews,28.0
305,Arc System Works,110707,Mixed or average reviews,12,"Action, Strategy, Real-Time, Beat-'Em-Up, Fantasy, General, Fantasy",4 Players Online,Aksys Games,https://www.metacritic.com/company/aksys-games,T,Mixed or average reviews,9.0
306,,112025,Generally unfavorable reviews,6,"Strategy, Real-Time, Historic, General, Historic",,DreamCatcher Interactive,https://www.metacritic.com/company/dreamcatcher-interactive,T,Mixed or average reviews,4.0
307,Tilted Mill,145630,Mixed or average reviews,10,"Strategy, Real-Time, Fantasy, General",No Online Multiplayer,Tilted Mill,https://www.metacritic.com/company/tilted-mill,T,Mixed or average reviews,43.0
308,Introversion,109768,Generally favorable reviews,38,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",4 Players Online,Introversion,https://www.metacritic.com/company/introversion,,Generally favorable reviews,72.0
309,Koei,107733,Mixed or average reviews,11,"Strategy, Turn-Based, Real-Time, Historic, General, Historic",,Koei,https://www.metacritic.com/company/koei,E10+,Generally favorable reviews,61.0
310,5TH Cell,112091,Generally favorable reviews,32,"Strategy, Real-Time, Historic, Historic, Defense",2 Players Online,THQ,https://www.metacritic.com/company/thq,E,Generally favorable reviews,37.0
311,Black Hole Games,110901,Mixed or average reviews,24,"Strategy, Real-Time, Fantasy, General, Fantasy",6 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,M,Mixed or average reviews,23.0
312,Black Hole Games,110902,Mixed or average reviews,30,"Strategy, Real-Time, Fantasy, General, Fantasy",4 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,M,Mixed or average reviews,20.0
313,Crave,112720,Mixed or average reviews,4,"Strategy, Real-Time, General, General, Defense",,Crave,https://www.metacritic.com/company/crave,E,Generally favorable reviews,8.0
314,Epics,111305,Generally unfavorable reviews,6,"Strategy, Real-Time, Breeding/Constructing, General, Breeding/Constructing, Command",2 Players 2 Players Online,Namco Bandai Games,https://www.metacritic.com/company/namco-bandai-games,E,Mixed or average reviews,24.0
315,Clear Crown Studios,110296,Generally unfavorable reviews,5,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",,Clear Crown Studios,https://www.metacritic.com/company/clear-crown-studios,E10+,Mixed or average reviews,25.0
