,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
1416,Exient Entertainment,261307,Generally unfavorable reviews,5,"Strategy, Puzzle, Action, General, General",No Online Multiplayer,Activision,https://www.metacritic.com/company/activision,E,Generally unfavorable reviews,98.0
1417,Proxy Studios,261465,Mixed or average reviews,12,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, General",Online Multiplayer,Slitherine,https://www.metacritic.com/company/slitherine,,Generally favorable reviews,53.0
1418,Maxis,257553,Mixed or average reviews,15,"Modern, Strategy, City Building, Management, Modern, Government",,Electronic Arts,https://www.metacritic.com/company/electronic-arts,E10+,Generally unfavorable reviews,111.0
1419,Firaxis Games,252900,Generally favorable reviews,6,"Sci-Fi, Strategy, Turn-Based, Sci-Fi, General, Tactics",2 Players,2K Games,https://www.metacritic.com/company/2k-games,M,Mixed or average reviews,84.0
1420,Firaxis Games,252901,Generally favorable reviews,16,"Sci-Fi, Strategy, Turn-Based, Sci-Fi, General, Tactics",,2K Games,https://www.metacritic.com/company/2k-games,M,Generally favorable reviews,98.0
1421,Firaxis Games,252902,Generally favorable reviews,54,"Sci-Fi, Strategy, Turn-Based, Sci-Fi, General, Tactics",2 Players,2K Games,https://www.metacritic.com/company/2k-games,M,Generally favorable reviews,817.0
1422,B-Alive,261301,Generally unfavorable reviews,6,"Simulation, Strategy, General, General, Management, Business / Tycoon",No Online Multiplayer,"Bit Composer, bitComposer",https://www.metacritic.com/company/bit-composer,,Generally unfavorable reviews,22.0
1423,Firaxis Games,261298,Generally favorable reviews,8,"Strategy, General, General",,2K Games,https://www.metacritic.com/company/2k-games,,No user score yet,
1424,Daedalic Entertainment,237302,Mixed or average reviews,48,"General, Role-Playing, Strategy, Turn-Based, General, Tactics",No Online Multiplayer,Daedalic Entertainment,https://www.metacritic.com/company/daedalic-entertainment,,Mixed or average reviews,255.0
1425,Firaxis Games,260104,Mixed or average reviews,4,"Strategy, General, General",,2K Games,https://www.metacritic.com/company/2k-games,,Mixed or average reviews,9.0
1426,Zen Studios,259260,Generally favorable reviews,9,"Strategy, Real-Time, General, General, Defense",2 Players,Zen Studios,https://www.metacritic.com/company/zen-studios,T,Generally favorable reviews,34.0
1427,KING Art,239198,Mixed or average reviews,15,"Strategy, Turn-Based, Sci-Fi, Sci-Fi, General, Tactics",,KING Art,https://www.metacritic.com/company/king-art,,Mixed or average reviews,72.0
1428,Awesome Games Studio,412578,Mixed or average reviews,4,"Action, Strategy, Real-Time, General, Command",No Online Multiplayer,Awesome Games Studio,https://www.metacritic.com/company/awesome-games-studio,,Mixed or average reviews,18.0
1429,11 bit studios,261045,Generally favorable reviews,11,"Action, Strategy, General, Real-Time, Sci-Fi, General",,"Chillingo Ltd, Chillingo Ltd., Chillingo",https://www.metacritic.com/company/chillingo-ltd,,Mixed or average reviews,15.0
1430,Kixeye,261043,Generally favorable reviews,4,"Action, Strategy, General, Real-Time, Command",,Kixeye,https://www.metacritic.com/company/kixeye,,No user score yet,
1431,Exient Entertainment,248918,Generally unfavorable reviews,6,"Strategy, Puzzle, Action, General, General",No Online Multiplayer,"LucasArts, Activision",https://www.metacritic.com/company/lucasarts,E,Generally unfavorable reviews,28.0
1432,Exient Entertainment,248919,Mixed or average reviews,3,"Strategy, Puzzle, Action, General, General",No Online Multiplayer,Activision,https://www.metacritic.com/company/activision,E,Mixed or average reviews,26.0
1433,KUNO INTERACTIVE,255379,Mixed or average reviews,15,"Strategy, Real-Time, General, General, Defense",No Online Multiplayer,Devolver Digital,https://www.metacritic.com/company/devolver-digital,,Generally favorable reviews,20.0
1434,NimbleBit,260117,Mixed or average reviews,17,"Action, Strategy, General, General, Management, Business / Tycoon",No Online Multiplayer,LucasArts,https://www.metacritic.com/company/lucasarts,,Mixed or average reviews,8.0
1435,Positech Games,258723,Mixed or average reviews,14,"Strategy, General, General, Management, Government",No Online Multiplayer,Positech Games,https://www.metacritic.com/company/positech-games,,Mixed or average reviews,172.0
1436,Dreamgate Studios,258558,Generally favorable reviews,9,"Action, Strategy, General, Real-Time, General, Defense",,"Chillingo Ltd, Chillingo",https://www.metacritic.com/company/chillingo-ltd,,Mixed or average reviews,6.0
1437,Nippon Ichi Software,237168,Mixed or average reviews,37,"Strategy, Turn-Based, Fantasy, Fantasy, Tactics",No Online Multiplayer,NIS America,https://www.metacritic.com/company/nis-america,T,Generally favorable reviews,71.0
1438,Team17,258252,Mixed or average reviews,16,"Strategy, Turn-Based, Fantasy, General, Fantasy",Up to 4 Players,Team17,https://www.metacritic.com/company/team17,E10+,Mixed or average reviews,20.0
1439,,258118,Generally favorable reviews,4,"Action, Strategy, General, General, Management, Business / Tycoon",,31x Limited,https://www.metacritic.com/company/31x-limited,,Mixed or average reviews,10.0
1440,Compile Heart,238971,Generally unfavorable reviews,5,"Fantasy, Fantasy, Strategy, Turn-Based, General, Tactics",No Online Multiplayer,Ghostlight,https://www.metacritic.com/company/ghostlight,,Mixed or average reviews,102.0
1441,Isotope 244,258221,Mixed or average reviews,5,"Strategy, Real-Time, General, Fantasy, Command",,Isotope 244,https://www.metacritic.com/company/isotope-244,,No user score yet,
1442,Bohemia Interactive,256068,Generally unfavorable reviews,5,"Simulation, Strategy, Turn-Based, General, General, Tactics",No Online Multiplayer,Bohemia Interactive,https://www.metacritic.com/company/bohemia-interactive,,Mixed or average reviews,34.0
1443,Neverland,234328,Generally favorable reviews,33,"Role-Playing, Strategy, Breeding/Constructing, General, Action RPG, Breeding/Constructing",No Online Multiplayer,XSEED Games,https://www.metacritic.com/company/xseed-games,E10+,Generally favorable reviews,158.0
1444,Kalypso,250330,Mixed or average reviews,17,"Strategy, General, General",,Kalypso,https://www.metacritic.com/company/kalypso,,Mixed or average reviews,81.0
1445,Harebrained Schemes LLC,257405,Generally favorable reviews,10,"Role-Playing, Strategy, Turn-Based, General, General, Tactics",,Harebrained Schemes LLC,https://www.metacritic.com/company/harebrained-schemes-llc,,Mixed or average reviews,26.0
1446,"Rovio Mobile, Rovio Entertainment",248793,Generally favorable reviews,24,"Strategy, Puzzle, Action, General, General",,"Rovio Mobile, Rovio Entertainment",https://www.metacritic.com/company/rovio-mobile,,Mixed or average reviews,33.0
1447,Zachtronics Industries,254802,Mixed or average reviews,12,"Strategy, General, General",,Zachtronics Industries,https://www.metacritic.com/company/zachtronics-industries,T,Mixed or average reviews,42.0
1448,Yodo1 Games,256457,Mixed or average reviews,6,"Strategy, Puzzle, General, General, Matching",,Yodo1 Games,https://www.metacritic.com/company/yodo1-games,,No user score yet,
1449,"Cyanide, Cyanide Studios",231685,Mixed or average reviews,13,"Strategy, Adventure, Real-Time, General, Tactics",No Online Multiplayer,"Cyanide, Cyanide Studios",https://www.metacritic.com/company/cyanide,,Generally favorable reviews,110.0
1450,Blue Manchu,185499,Generally favorable reviews,18,"Strategy, General",,Blue Manchu,https://www.metacritic.com/company/blue-manchu,,Generally favorable reviews,63.0
1451,The Codemasters Software Company Limited,255421,Mixed or average reviews,6,"Strategy, General",,The Codemasters Software Company Limited,https://www.metacritic.com/company/the-codemasters-software-company-limited,,No user score yet,
1452,Flat Earth Games,255669,Mixed or average reviews,7,"Simulation, Strategy, General, General, Management, Government",,Flat Earth Games,https://www.metacritic.com/company/flat-earth-games,,No user score yet,
1453,Little Green Men,297552,Mixed or average reviews,19,"Strategy, Real-Time, Sci-Fi, General",No Online Multiplayer,Iceberg Interactive,https://www.metacritic.com/company/iceberg-interactive,,Generally favorable reviews,159.0
1454,Bohemia Interactive,254999,Mixed or average reviews,5,"Simulation, Strategy, Turn-Based, General, General, Tactics",,Bohemia Interactive,https://www.metacritic.com/company/bohemia-interactive,,No user score yet,
1455,Creative Assembly,235432,Generally favorable reviews,71,"Strategy, Real-Time, Historic, General, Historic",,Sega,https://www.metacritic.com/company/sega,T,Generally unfavorable reviews,3968.0
1456,Monolith Productions,252576,Mixed or average reviews,12,"Strategy, Real-Time, MOBA, MOBA",,Warner Bros. Interactive Entertainment,https://www.metacritic.com/company/warner-bros-interactive-entertainment,T,Mixed or average reviews,110.0
1457,Firaxis Games,254050,Mixed or average reviews,7,"Strategy, General, General",,2K Games,https://www.metacritic.com/company/2k-games,,Mixed or average reviews,26.0
1458,Double Eleven,251520,Mixed or average reviews,8,"Strategy, Real-Time, Fantasy, Fantasy, Defense",,Double Eleven,https://www.metacritic.com/company/double-eleven,E,Mixed or average reviews,28.0
1459,"Full Control ApS, Full Control",227909,Mixed or average reviews,22,"Strategy, Turn-Based, General, General",,"Full Control ApS, Full Control",https://www.metacritic.com/company/full-control-aps,T,Mixed or average reviews,169.0
