,developer,id,metascore_how,metascore_review,multigenre,player,publisher,publisher_url,rating,userscore_how,userscore_review
699,EA Tiburon,162584,Generally favorable reviews,44,"Sports, Traditional, Football, Arcade",4 Players Online,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Mixed or average reviews,12
700,EA Tiburon,162585,Generally favorable reviews,24,"Sports, Traditional, Football, Arcade",,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,5
701,EA Tiburon,104401,Generally favorable reviews,33,"Sports, Traditional, Football, Arcade",4 Players Online,EA Sports Big,https://www.metacritic.com/company/ea-sports-big,E,Generally favorable reviews,26
702,Sensory Sweep,104450,Mixed or average reviews,21,"Sports, Traditional, Individual, Golf, Sim, Sim",No Online Multiplayer,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,8
703,Sports Interactive,103664,Generally favorable reviews,18,"Sports, Traditional, Team, Soccer, Management, Management",2 Players Online,Sega,https://www.metacritic.com/company/sega,E,Generally favorable reviews,59
704,Hypnotix,103242,Mixed or average reviews,20,"Sports, Traditional, Golf, Arcade",4 Players Online,Global Star Software,https://www.metacritic.com/company/global-star-software,M,No user score yet,
705,FUN Labs,162612,Mixed or average reviews,5,"Sports, Nature, Hunting",,Activision Value,https://www.metacritic.com/company/activision-value,T,Mixed or average reviews,7
706,Exient Entertainment,104448,Mixed or average reviews,25,"Sports, Traditional, Team, Football, Sim, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,7
707,EA Canada,104062,Generally favorable reviews,19,"Sports, Traditional, Basketball, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,13
708,EA Tiburon,107915,Generally favorable reviews,54,"Sports, Traditional, Team, Football, Sim, Sim",2 Players 2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,151
709,EA Sports,107916,Generally favorable reviews,29,"Sports, Traditional, Football, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,47
710,EA Tiburon,107917,Generally favorable reviews,18,"Sports, Traditional, Team, Football, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,17
711,Exient Entertainment,107918,Mixed or average reviews,9,"Sports, Traditional, Team, Football, Sim, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,10
712,EA Tiburon,107919,Generally favorable reviews,15,"Sports, Traditional, Team, Football, Sim, Sim",2 Players Online,EA Sports,https://www.metacritic.com/company/ea-sports,E,Mixed or average reviews,16
713,EA Tiburon,163011,Generally favorable reviews,27,"Sports, Traditional, Football, Sim",,EA Sports,https://www.metacritic.com/company/ea-sports,E,Generally favorable reviews,8
